start_date,end_date,finished,condition,subject,gender,age,mood_pre,mood_post,STAI_pre_1_1,STAI_pre_1_2,STAI_pre_1_3,STAI_pre_1_4,STAI_pre_1_5,STAI_pre_1_6,STAI_pre_1_7,STAI_pre_2_1,STAI_pre_2_2,STAI_pre_2_3,STAI_pre_2_4,STAI_pre_2_5,STAI_pre_2_6,STAI_pre_2_7,STAI_pre_3_1,STAI_pre_3_2,STAI_pre_3_3,STAI_pre_3_4,STAI_pre_3_5,STAI_pre_3_6,STAI_post_1_1,STAI_post_1_2,STAI_post_1_3,STAI_post_1_4,STAI_post_1_5,STAI_post_1_6,STAI_post_1_7,STAI_post_2_1,STAI_post_2_2,STAI_post_2_3,STAI_post_2_4,STAI_post_2_5,STAI_post_2_6,STAI_post_2_7,STAI_post_3_1,STAI_post_3_2,STAI_post_3_3,STAI_post_3_4,STAI_post_3_5,STAI_post_3_6,moral_dilemma_dog,moral_dilemma_wallet,moral_dilemma_plane,moral_dilemma_resume,moral_dilemma_kitten,moral_dilemma_trolley,moral_dilemma_control,presentation_experience,presentation_unpleasant,presentation_fun,presentation_challenge,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,REI_1,REI_2,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_33,REI_34,REI_35,REI_36,REI_37,REI_38,REI_39,REI_40,MAIA_1_1,MAIA_1_2,MAIA_1_3,MAIA_1_4,MAIA_1_5,MAIA_1_6,MAIA_1_7,MAIA_1_8,MAIA_1_9,MAIA_1_10,MAIA_1_11,MAIA_1_12,MAIA_1_13,MAIA_1_14,MAIA_1_15,MAIA_1_16,MAIA_2_1,MAIA_2_2,MAIA_2_3,MAIA_2_4,MAIA_2_5,MAIA_2_6,MAIA_2_7,MAIA_2_8,MAIA_2_9,MAIA_2_10,MAIA_2_11,MAIA_2_12,MAIA_2_13,MAIA_2_14,MAIA_2_15,MAIA_2_16,STAI_pre,STAI_post,MAIA_noticing,MAIA_not_distracting,MAIA_not_worrying,MAIA_attention_regulation,MAIA_emotional_awareness,MAIA_self_regulation,MAIA_body_listening,MAIA_trusting,PBC,REI_rational_ability,REI_rational_engagement,REI_experiental_ability,REI_experiental_engagement,moral_judgment,moral_judgment_disgust,moral_judgment_non_disgust,presentation_evaluation,logbook,exclude
11/3/2014,11/3/2014,1,stress,14,female,18,53,38,1,2,2,2,2,1,1,3,1,3,3,2,1,1,2,2,1,1,2,2,3,2,2,2,3,2,1,2,1,3,3,1,1,1,3,3,2,1,3,3,7,9,6,9,9,4,8,2,82,18,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,42,,,,,,,,,,,,,,7.428571428571429,7.333333333333333,7.333333333333333,3,,0
11/3/2014,11/3/2014,1,control,12,female,18,67,,2,2,2,1,2,2,2,2,1,3,3,1,1,2,3,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,9,9,9,8,7,5,8,,,,,4,2,4,3,4,2,2,4,2,3,2,3,2,4,2,2,3,4,3,3,3,4,4,2,3,3,2,4,2,3,4,4,3,3,4,2,3,4,4,2,3,2,3,2,3,1,4,4,3,3,2,2,5,3,2,4,2,3,2,4,3,3,2,4,3,3,3,2,2,2,3,4,2,2,2,3,3,39,,12,7,10,21,15,9,8,8,17,27,32,28,30,7.857142857142857,8.333333333333334,7.333333333333333,,,0
11/3/2014,11/3/2014,1,stress,17,female,18,79,59,1,1,2,1,2,1,1,4,1,3,3,2,2,3,2,3,1,1,2,2,2,2,1,1,2,1,1,4,1,3,3,2,2,2,3,3,2,1,3,3,9,9,9,9,9,5,3,2,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,42,,,,,,,,,,,,,,7.571428571428571,9,7.666666666666667,3,,0
11/3/2014,11/3/2014,1,control,11,male,18,61,,1,1,2,1,2,1,3,3,1,2,2,1,2,1,3,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,6,7,4,7,6,3,7,,,,,2,4,3,3,2,5,2,3,5,4,4,5,3,3,2,5,5,2,3,4,3,5,5,3,2,5,1,3,4,3,3,4,2,4,4,3,4,3,4,2,2,5,4,2,5,1,3,3,3,2,2,2,5,5,4,5,3,5,4,4,4,4,4,3,4,4,5,1,2,1,1,4,3,3,5,5,5,36,,10,6,14,29,20,5,10,15,14,44,44,23,29,5.714285714285714,5.333333333333333,5.666666666666667,,,0
11/3/2014,11/3/2014,1,control,10,female,21,72,,2,2,2,2,2,1,2,4,1,4,3,1,1,2,3,3,2,1,4,3,,,,,,,,,,,,,,,,,,,,,7,9,9,8,9,4,6,,,,,5,5,2,5,4,2,5,5,5,3,5,3,5,5,5,3,2,4,3,4,,,,,,4,4,4,3,4,2,3,4,4,4,5,3,4,4,5,4,4,3,4,4,5,5,5,4,3,2,2,4,3,0,1,1,3,4,3,3,2,5,5,1,2,4,2,2,3,2,3,3,3,3,4,4,45,,19,7,7,17,17,9,9,11,21,,,,,7.428571428571429,8.333333333333334,7,,,0
11/3/2014,11/3/2014,1,control,8,female,19,59,,3,2,2,2,3,1,3,2,1,3,2,1,1,1,3,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,8,4,7,7,6,2,7,,,,,2,2,1,4,2,3,4,4,5,3,4,3,4,4,4,3,3,2,4,3,3,3,5,2,3,2,4,4,2,3,3,4,4,2,4,4,2,3,3,4,3,4,2,3,4,2,4,1,2,3,4,3,3,2,2,1,2,4,2,3,1,3,3,3,2,2,3,1,1,3,2,1,1,2,4,2,3,41,,9,10,7,16,13,7,4,9,11,27,36,38,32,5.857142857142857,7,4.333333333333333,,,0
11/3/2014,11/3/2014,1,stress,15,female,17,70,38,3,2,3,3,3,1,1,3,1,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2,3,1,1,3,1,3,3,1,1,1,2,3,1,1,3,3,9,9,9,8,9,1,6,2,93,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,39,,,,,,,,,,,,,,7.285714285714286,9,6,1,,0
11/3/2014,11/3/2014,1,control,23,female,23,78,,1,1,1,2,1,1,1,3,1,2,2,1,1,2,2,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,8,2,8,5,8,3,6,,,,,4,3,4,4,4,3,4,4,2,2,4,4,4,4,4,2,3,4,4,2,4,3,5,2,4,2,2,4,2,2,4,3,3,4,4,4,2,5,3,4,4,4,2,3,2,4,4,4,4,2,2,2,5,5,3,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,4,3,2,4,4,4,34,,16,6,13,25,20,12,9,12,19,24,30,37,40,5.714285714285714,8,3.3333333333333335,,,0
11/3/2014,11/3/2014,1,control,21,female,18,68,,2,4,1,2,3,1,1,2,1,2,3,1,1,1,3,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,5,7,8,7,9,6,7,,,,,3,1,3,2,3,2,2,2,4,4,2,2,2,3,2,4,4,2,2,3,2,4,5,3,2,4,1,3,2,3,2,4,1,2,4,2,4,2,5,2,1,5,3,2,4,3,2,2,1,3,3,4,3,4,3,1,1,2,1,0,0,2,4,2,3,1,1,1,1,1,3,3,1,1,3,3,2,37,,8,10,10,7,11,6,5,8,12,36,37,20,19,7,7.333333333333333,6.666666666666667,,,0
11/3/2014,11/3/2014,1,stress,25,female,19,60,53,3,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,4,2,1,1,1,2,2,1,2,2,2,9,8,8,8,8,5,5,2,44,65,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,,,,,,,,,,,,,,7.285714285714286,8.333333333333334,7,2,,0
11/3/2014,11/3/2014,1,control,26,male,20,73,,1,2,2,1,2,2,2,3,2,4,2,2,2,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,9,8,9,8,9,6,8,,,,,2,4,2,5,3,4,4,3,4,5,2,4,2,3,4,3,2,4,4,3,4,4,1,4,3,4,3,4,4,3,2,3,2,4,4,3,1,4,3,3,2,4,4,3,2,2,4,2,2,5,3,2,5,4,4,4,4,3,3,3,4,3,4,2,3,2,4,3,2,1,2,3,2,3,4,3,4,38,,10,10,13,24,15,8,8,11,16,36,30,31,32,8.142857142857142,9,7.333333333333333,,,0
11/3/2014,11/3/2014,1,stress,24,female,20,66,0,3,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,4,2,2,2,3,1,1,4,1,3,3,2,2,1,3,4,1,2,3,3,8,3,3,7,8,2,7,2,90,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,47,,,,,,,,,,,,,,5.428571428571429,6.333333333333333,4,1,,0
11/3/2014,11/3/2014,1,control,29,female,22,65,,3,2,2,1,3,1,1,2,1,2,1,2,1,1,3,2,2,1,3,1,,,,,,,,,,,,,,,,,,,,,9,9,8,6,9,3,9,,,,,4,5,3,4,3,4,4,4,5,5,4,3,3,4,3,4,4,5,4,5,5,3,5,2,4,5,4,5,5,2,2,4,3,5,3,4,3,3,4,4,3,4,4,5,3,2,5,3,2,4,2,3,2,4,3,4,3,5,3,4,2,2,4,4,5,5,4,2,3,4,4,5,3,2,4,4,5,35,,12,9,9,23,22,13,10,13,19,39,38,37,41,7.571428571428571,8.666666666666666,6,,,0
11/3/2014,11/3/2014,1,control,19,male,23,100,,2,1,2,2,1,1,1,1,1,1,2,2,2,3,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,9,5,9,9,9,5,5,,,,,5,5,5,5,5,2,4,3,5,3,5,1,3,3,4,1,2,5,3,1,3,4,4,5,3,4,1,5,1,3,1,3,1,3,5,4,5,2,5,3,2,1,2,2,3,5,5,5,5,2,1,1,6,5,4,5,5,5,4,5,5,5,5,3,5,5,5,5,5,3,5,4,5,3,5,5,5,29,,20,4,15,34,23,18,12,15,25,28,32,29,31,7.285714285714286,9,6.333333333333333,,,0
11/3/2014,11/3/2014,1,stress,22,female,18,13,37,4,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,3,3,3,4,3,3,2,2,3,3,3,2,1,3,3,2,1,2,3,3,1,3,3,3,9,8,5,8,4,2,8,2,100,15,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,49,,,,,,,,,,,,,,6.285714285714286,6,6,2,,0
11/3/2014,11/3/2014,1,control,20,female,19,65,,1,2,1,1,2,2,2,3,1,2,3,1,1,2,1,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,2,9,8,7,7,3,7,,,,,4,2,2,2,1,3,5,4,4,4,3,3,3,3,4,3,4,2,4,4,3,2,4,3,4,4,2,3,3,2,3,3,4,3,3,4,2,3,3,4,3,5,3,4,3,3,1,4,2,3,3,2,3,5,3,4,3,4,4,3,3,3,3,2,4,4,4,3,3,2,3,3,3,3,4,4,4,35,,10,8,11,24,17,11,9,12,11,33,32,36,32,6.142857142857143,5.666666666666667,6.333333333333333,,,0
11/3/2014,11/3/2014,1,stress,28,male,22,53,68,2,2,1,2,2,1,1,3,1,2,3,1,1,1,2,2,1,1,2,3,3,3,2,2,3,2,1,2,1,3,3,1,1,1,3,2,1,1,3,3,2,8,6,7,8,4,9,2,20,84,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,41,,,,,,,,,,,,,,6.285714285714286,5.333333333333333,6.333333333333333,3,skipped presentation because test leader knew participant,1
11/3/2014,11/3/2014,1,stress,30,female,20,64,74,2,2,2,2,2,1,1,3,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,3,1,2,2,1,1,1,2,2,1,2,2,2,9,9,9,9,9,5,4,2,20,42,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,31,,,,,,,,,,,,,,7.714285714285714,9,7.666666666666667,3,,0
11/3/2014,11/3/2014,1,control,33,female,17,70,,1,1,1,1,1,1,2,2,1,2,3,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,3,7,7,7,6,5,7,,,,,4,4,2,4,2,5,3,4,4,4,3,4,3,3,3,5,4,3,3,5,3,4,4,1,4,5,4,4,4,3,4,4,4,3,4,3,3,3,3,4,2,4,4,3,4,2,4,2,4,4,2,2,4,4,4,4,4,4,4,4,3,3,2,3,3,4,4,3,3,4,3,3,3,3,3,3,3,30,,12,8,12,26,16,13,9,9,16,40,38,36,30,6,5.333333333333333,6.333333333333333,,,0
11/3/2014,11/3/2014,1,control,37,male,18,50,,3,2,3,3,3,1,2,4,3,3,2,1,1,2,4,3,2,1,3,3,,,,,,,,,,,,,,,,,,,,,9,3,4,6,9,1,4,,,,,2,5,4,5,5,5,3,2,3,4,4,5,2,3,3,4,4,4,3,4,4,3,4,3,3,4,3,4,4,4,3,5,5,5,4,2,4,2,3,3,2,3,4,4,3,4,4,4,4,3,5,4,6,6,1,4,4,4,4,4,4,4,4,4,1,2,4,3,3,2,2,3,2,3,5,5,5,49,,16,12,13,28,15,10,8,15,21,38,39,32,32,5.142857142857143,7.333333333333333,3.3333333333333335,,,0
11/3/2014,11/3/2014,1,stress,36,female,21,32,49,4,3,3,3,4,1,2,4,3,4,4,4,4,2,4,4,2,4,4,4,3,3,2,2,3,1,1,3,1,3,3,3,3,1,3,3,2,2,4,4,7,8,5,8,8,4,5,2,98,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,50,,,,,,,,,,,,,,6.428571428571429,6.666666666666667,6.666666666666667,3,,0
11/3/2014,11/3/2014,1,stress,32,female,19,74,77,2,2,2,2,2,1,2,2,1,2,2,2,1,1,3,2,1,2,2,2,3,2,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,9,9,9,9,9,3,3,2,90,3,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,,,,,,,,,,,,,,7.285714285714286,9,7,3,"did not understand presentation instructions, didn't present",1
11/3/2014,11/3/2014,1,control,35,female,18,84,,2,1,2,2,1,1,1,2,1,2,2,1,1,1,3,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,8,9,9,7,5,2,7,,,,,5,2,4,1,2,5,4,5,2,4,4,5,5,5,5,5,4,2,5,5,5,5,4,4,4,5,4,5,2,4,3,1,5,5,5,5,3,4,4,5,4,5,4,5,4,3,4,1,3,4,4,1,5,3,1,2,1,1,4,4,4,4,1,2,5,5,5,3,4,4,4,3,3,3,4,4,4,33,,11,9,9,20,18,15,9,12,14,45,35,45,44,6.714285714285714,7.333333333333333,6,,,0
11/3/2014,11/3/2014,1,control,31,female,23,69,,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,8,7,8,7,8,4,4,,,,,3,4,4,5,4,5,4,4,4,4,4,4,5,4,4,5,4,3,5,4,4,4,4,3,4,5,3,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,3,2,3,2,2,2,5,5,4,3,2,3,3,3,3,3,5,2,3,3,4,2,3,4,4,1,1,1,3,3,4,36,,11,6,14,20,17,13,3,10,20,41,38,39,39,6.571428571428571,8,6,,,0
11/3/2014,11/3/2014,1,stress,34,female,18,63,65,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,2,3,4,8,8,8,7,8,2,73,31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,,,,,,,,,,,,,,6.571428571428571,6.333333333333333,6.333333333333333,4,,0
11/3/2014,11/3/2014,1,stress,38,female,18,67,79,2,2,2,2,3,1,4,3,1,2,2,2,2,1,3,2,2,2,3,2,2,2,1,1,2,1,4,2,1,2,2,1,1,1,1,2,1,1,2,2,8,9,8,9,9,5,7,2,68,68,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,32,,,,,,,,,,,,,,7.857142857142857,8.333333333333334,7.666666666666667,4,,0
11/3/2014,11/3/2014,1,control,40,male,22,19,,3,1,3,3,2,3,3,2,2,2,2,3,3,2,3,3,1,1,4,3,,,,,,,,,,,,,,,,,,,,,9,6,1,1,9,7,3,,,,,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,1,5,,,,,,5,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,2,4,3,3,4,3,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,49,,11,10,9,18,14,11,8,8,20,,,,45,5.142857142857143,6.333333333333333,4.666666666666667,,,0
11/3/2014,11/3/2014,1,control,39,male,20,87,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,7,8,9,4,9,5,6,,,,,2,4,1,4,4,5,3,3,4,4,4,4,4,4,3,4,5,4,4,4,4,3,2,3,5,5,2,4,4,3,2,3,4,3,4,4,1,2,4,4,3,5,4,5,4,3,4,4,3,4,3,2,4,5,4,5,4,4,3,3,4,4,2,1,3,4,3,3,4,3,2,1,1,3,5,5,4,23,,14,9,13,27,13,12,5,14,15,38,37,35,36,6.857142857142857,8.333333333333334,5.666666666666667,,,0
11/4/2014,11/4/2014,1,stress,42,female,19,58,45,2,2,1,1,2,2,1,3,1,3,3,1,1,2,3,3,1,1,4,3,3,3,2,2,3,2,1,4,1,3,4,2,1,2,3,4,1,1,3,4,9,7,6,7,9,7,7,2,100,15,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,49,,,,,,,,,,,,,,7.428571428571429,8,7,2,,0
